x,prev,prevN,y
judge,the,great uncle,-1
father,her,did conquer,-1
quest,in,the lane,-1
book,his,conscientiously to,-1
country,the,ladies in,-1
happiness,which,disposition in,-1
everybody,for,as desirable,-1
unwillingness,little,been this,-1
compassion,much,situation with,-1
country,a,of mentioning,-1
nothings,pompous,go in,1
sister,oh,but lizzy,-1
reason,have,because i,-1
affairs,his,interference in,1
number,a,over such,-1
mind,a,or with,-1
manners,s,mrs. philips,1
concern,his,something of,-1
everybody,of,the good,-1
man,a,laughing at,-1
aunt,his,imagine that,-1
volunteers,provide,support to,1
surprise,of,s expression,-1
relation,near,room a,-1
individual,one,collected in,-1
extent,the,as to,-1
improvement,her,hear of,-1
times,several,they met,1
husband,her,her and,-1
admiration,your,rather affected,-1
err,not,wishes did,-1
ladies,the,message for,1
object,an,in it,-1
glory,his,him in,-1
excuse,the,her sister,-1
girls,the,occurred to,1
alternative,happiest,as the,-1
word,a,said not,-1
language,your,must think,-1
ball,a,talk over,-1
dining,the,doors into,-1
clergyman,a,profession of,-1
compassion,and,my regret,-1
husband,her,consequently preferred,-1
matter,the,concerned in,-1
subject,the,of changing,-1
date,to,and up,-1
breakfast,his,only of,-1
half,hair,with her,-1
subject,old,on the,-1
brother,his,kindness of,-1
couple,young,received the,-1
relations,some,she had,1
redress,legal,you seek,-1
carriage,her,walked on,-1
fortnight,first,way the,-1
modesty,bashful,from her,-1
love,in,and thoroughly,-1
invitation,the,she whom,-1
purchase,eligible,as any,-1
manager,excellent,is an,-1
farm,the,wanted in,-1
return,their,soon after,-1
resemblance,his,appearance or,-1
man,young,by a,-1
character,his,and that,-1
park,the,tour of,-1
father,her,suspected by,-1
selfishness,that,or me,-1
marriage,imprudent,a most,-1
guilt,the,collins from,-1
man,young,of the,-1
man,a,it for,-1
attachment,his,ago and,-1
time,the,aunt all,-1
quarter,a,this manner,-1
course,of,explained elizabeth,-1
fingers,my,see done,1
money,the,he considered,-1
mating,notable,achieve a,-1
family,the,ladies of,-1
card,the,removed and,-1
something,say,wished to,-1
hour,an,for half,-1
profits,gross,of the,1
questions,asked,moment elizabeth,1
lover,her,stability of,-1
possibility,every,brighton comprised,-1
character,of,remarkable resemblance,-1
nothing,and,an attachment,-1
behaviour,their,not convinced,-1
repining,her,the third,-1
report,a,that such,-1
head,his,darcy shook,-1
dine,charlotte,matter did,-1
country,most,independence a,-1
illustration,wishes,of her,-1
means,all,deceived by,1
instance,present,in the,-1
professions,many,friends with,1
sings,and,she plays,1
summer,and,back again,-1
memory,good,these a,-1
matter,the,does of,-1
trouble,the,give herself,-1
reason,the,asked herself,-1
indecorum,and,the folly,-1
dear,my,am astonished,-1
satisfaction,any,would receive,-1
contrary,the,for on,-1
illustration,day,the next,-1
goodness,his,him for,-1
silence,short,after a,-1
carriage,a,sound of,-1
motive,prudent,and the,-1
north,the,banished to,-1
everything,and,him anything,-1
delight,with,trace it,-1
man,last,were the,-1
commendations,the,for all,1
marriage,matrimony,or of,-1
happiness,whose,and for,-1
scenes,rehearsal,the matchless,1
receipt,the,can on,-1
account,this,and on,-1
question,a,to was,-1
part,derives,believe she,-1
delights,such,prospect of,1
occasion,an,her with,-1
trait,distinguished,goodness some,-1
character,the,praise on,-1
sisters,younger,and the,1
purpose,real,consequences my,-1
ingenuity,some,as required,-1
solicitude,a,she felt,-1
birth,in,to jane,-1
windings,its,to explore,1
light,the,light in,-1
behaviour,his,been suggested,-1
actions,my,account of,1
discourse,the,then changed,-1
thought,in,again deep,-1
father,your,go to,-1
mother,her,well cried,-1
road,high,left the,-1
brother,her,handsome than,-1
shape,the,came in,-1
indifference,their,matter and,-1
thing,a,of such,-1
husband,her,conviction of,-1
night,one,stayed only,-1
pity,a,husbands what,-1
heroes,s,miss austen,1
bets,making,eager in,1
presence,s,in darcy,-1
course,of,they were,-1
moment,a,her for,-1
misery,the,after all,-1
sight,the,talked of,-1
families,some,compared with,1
marriage,her,lydia on,-1
supply,general,can in,-1
struggle,lingering,shown every,-1
sister,his,thing of,-1
satisfaction,the,them all,-1
house,the,on reaching,-1
apprehension,of,he spoke,-1
plan,your,she chooses,-1
parties,the,dispositions of,1
sort,a,it is,-1
days,few,hertfordshire a,1
illustration,much,fancied too,-1
patient,his,having examined,-1
character,his,wife understand,-1
