long,lat,OBJECTID,WardsPrec,Ward,Precinct,Location2,Location3,Location4
-71.16019,42.345580041001831,1,Ward 22 Precincts 8 and 9,22,9,THOMAS A. EDISON SCHOOL -,"60 GLENMONT ROAD,", 
-71.03488973,42.365554369941435,2,Ward 1 Precinct 1,1,1,SAMUEL ADAMS ELEMENTARY SCHOOL -,"165 WEBSTER STREET,", 
-71.03492085,42.380948818787033,3,"Ward 1 Precincts 6, 7, 8, 9 & 10",1,10,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,", 
-71.02013173,42.383817540256658,4,Ward 1 Precinct 11,1,11,CHEVERUS SCHOOL APARTMENTS -,"10 MOORE STREET,", 
-71.00466,42.38405004112154,5,Ward 1 Precinct 12,1,12,ORIENT HEIGHTS YACHT CLUB -,61 BAYSWATER STREET., 
-71.00502369,42.388251925982324,6,Ward 1 Precinct 13,1,13,CURTIS GUILD ELEMENTARY SCHOOL -,"5 ASHLEY STREET,", 
-71.0083735,42.392515176921066,7,Ward 1 Precinct 14,1,14,ORIENT HEIGHTS HOUSING COMMUNITY BUILDING -,"38 VALLAR ROAD,", 
-71.04330569,42.318586069184299,8,Ward 1 Precinct 15 and Ward 13 Precinct 3,1,15,HARBOR POINT TECHNOLOGY CENTER -,"15 HARBOR POINT BOULEVARD,", 
-71.03422003,42.369239391707985,9,Ward 1 Precinct 2,1,2,DONALD MCKAY SCHOOL -,"122 COTTAGE STREET,", 
-71.03962975,42.368619379296142,10,Ward 1 Precinct 3,1,3,B.H.A. HERITAGE APARTMENTS -,"209 SUMNER STREET,", 
-71.03752772,42.372879431314388,11,Ward 1 Precincts 4 and 5,1,4,PARIS STREET COMMUNITY CENTER -,"112 PARIS STREET,", 
-71.03752772,42.372879431314388,12,Ward 1 Precincts 4 and 5,1,5,PARIS STREET COMMUNITY CENTER -,"112 PARIS STREET,", 
-71.03492085,42.380948818787033,13,"Ward 1 Precincts 6, 7, 8, 9 & 10",1,6,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,", 
-71.03492085,42.380948818787033,14,"Ward 1 Precincts 6, 7, 8, 9 & 10",1,7,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,", 
-71.03492085,42.380948818787033,15,"Ward 1 Precincts 6, 7, 8, 9 & 10",1,8,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,", 
-71.03492085,42.380948818787033,16,"Ward 1 Precincts 6, 7, 8, 9 & 10",1,9,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,", 
-71.06680072,42.375857010282061,17,Ward 2 Precincts 1 and 3,2,1,ZELMA LACEY HOUSE -,9 WEST SCHOOL STREET., 
-71.0575463,42.376615327299298,18,Ward 2 Precincts 2 and 4,2,2,HARVARD/KENT SCHOOL -,"50 BUNKER HILL STREET,", 
-71.06680072,42.375857010282061,19,Ward 2 Precincts 1 and 3,2,3,ZELMA LACEY HOUSE -,9 WEST SCHOOL STREET., 
-71.0575463,42.376615327299298,20,Ward 2 Precincts 2 and 4,2,4,HARVARD/KENT SCHOOL -,"50 BUNKER HILL STREET,", 
-71.06723065,42.37907172000601,21,Ward 2 Precincts 5 and 6,2,5,CLARENCE R. EDWARDS MIDDLE SCHOOL -,"28 WALKER STREET,", 
-71.06723065,42.37907172000601,22,Ward 2 Precincts 5 and 6,2,6,CLARENCE R. EDWARDS MIDDLE SCHOOL -,"28 WALKER STREET,", 
-71.06991844,42.37976548967341,23,Ward 2 Precinct 7,2,7,GOLDEN AGE SENIOR CENTER -,"382 MAIN STREET,", 
-71.05198,42.362430039938779,24,Ward 3 Precinct 1,3,1,CHRISTOPHER COLUMBUS ELDERLY HOUSING,"145 COMMERCIAL STREET,", 
-71.05748904,42.364888707854611,25,Ward 3 Precinct 4,3,4,CASA MARIA APARTMENTS -,130 ENDICOTT STREET, 
-71.06564,42.365620041320902,26,Ward 3 Precinct 5,3,5,AMY LOWELL HOUSE -,"65 MARTHA ROAD,",(CHARLES RIVER PARK RESIDENTS VOTER
-71.05827006,42.36029496889806,27,Ward 3 Precinct 6,3,6,CITY HALL -,"1 CITY HALL PLAZA,", 
-71.06882392,42.341393310315013,28,"Ward 3 Precinct 7, Ward 8 Precincts 1 and 2",3,7,CATHEDRAL HIGH SCHOOL GYMNASIUM -,"1336 WASHINGTON STREET,", 
-71.06378803,42.348571909920608,29,Ward 3 Precinct 8,3,8,WANG YMCA OF CHINATOWN -,8 OAK STREET WEST., 
-71.07352,42.344360040023346,30,Ward 4 Precincts 1 and 3,4,1,WILLIAM MCKINLEY SOUTH END ACADEMY -,"90 WARREN AVENUE,", 
-71.07610032,42.346779415292232,31,Ward 4 Precinct 2,4,2,TENT CITY COMMUNITY ROOM -,"130 DARTMOUTH STREET,", 
-71.07352,42.344360040023346,32,Ward 4 Precincts 1 and 3,4,3,WILLIAM MCKINLEY SOUTH END ACADEMY -,"90 WARREN AVENUE,", 
-71.07938,42.340120039850035,33,Ward 4 Precinct 4,4,4,FREDERICK DOUGLASS APARTMENTS -,755 TREMONT STREET., 
-71.08416984,42.342610414187043,34,Ward 4 Precincts 5,4,5,SYMPHONY PLAZA EAST  -,"334 MASSACHUSETTS AVENUE,", 
-71.08812,42.345030040035681,35,Ward 4 Precincts 6 and 7,4,6,MORVILLE HOUSE -,"100 NORWAY STREET,", 
-71.08812,42.345030040035681,36,Ward 4 Precincts 6 and 7,4,7,MORVILLE HOUSE -,"100 NORWAY STREET,", 
-71.08467302,42.342270683305372,37,Ward 4 Precincts 8,4,8,SYMPHONY PLAZA WEST  -,"333 MASSACHUSETTS AVENUE,", 
-71.09419272,42.33549629685573,38,Ward 4 Precinct 9,4,9,"WENTWORTH INSTITUTE, ANNEX CENTRAL BUILDING -","550 PARKER STREET,", 
-71.0701988,42.346076389861999,39,Ward 5 Precinct 1,5,1,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY -,"41 BERKELEY STREET,", 
-71.097,42.350330040260886,40,Ward 5 Precinct 10,5,10,BOSTON UNIVERSITY -KILACHAND HALL,91 BAY STATE ROAD, 
-71.07091,42.357840039693073,41,Ward 5 Precincts 5 and 11,5,11,HILL HOUSE COMMUNITY CENTER -,"127 MOUNT VERNON STREET,", 
-71.09506995,42.346263359135229,42,Ward 5 Precincts 2 and 2A and Ward 21 Precinct 1,5,2,BOSTON ARTS ACADEMY/FENWAY HIGH SCHOOL -,"174 IPSWICH STREET,", 
-71.09506995,42.346263359135229,43,Ward 5 Precincts 2 and 2A and Ward 21 Precinct 1,5,0,BOSTON ARTS ACADEMY/FENWAY HIGH SCHOOL -,"174 IPSWICH STREET,", 
-71.06374887,42.358292625906806,44,Ward 5 Precinct 3,5,3,STATE HOUSE -,24 BEACON STREET., 
-71.065,42.36152003981482,45,Ward 5 Precinct 4,5,4,WEST END LIBRARY -,"151 CAMBRIDGE STREET,", 
-71.07091,42.357840039693073,46,Ward 5 Precincts 5 and 11,5,5,HILL HOUSE COMMUNITY CENTER -,"127 MOUNT VERNON STREET,", 
-71.0724,42.352590039859869,47,Ward 5 Precinct 6,5,6,EMMANUEL EPISCOPAL CHURCH -,"15 NEWBURY STREET,", 
-71.07865866,42.349231060701548,48,Ward 5 Precincts 7 and 8,5,7,COPLEY SQUARE LIBRARY -,"700 BOYLSTON STREET,",VOTER ENTRANCE DARTMOUTH STREET.
-71.07865866,42.349231060701548,49,Ward 5 Precincts 7 and 8,5,8,COPLEY SQUARE LIBRARY -,"700 BOYLSTON STREET,",VOTER ENTRANCE DARTMOUTH STREET.
-71.08639,42.346522039723297,50,Ward 5 Precinct 9,5,9,SAINT CECILIA PARISH -,18 BELVIDERE STREET., 
-71.05215063,42.338017263812525,51,"Ward 6 Precincts 1, 2 and 3",6,1,JAMES F. CONDON ELEMENTARY SCHOOL -,"200 D STREET,", 
-71.05215063,42.338017263812525,52,"Ward 6 Precincts 1, 2 and 3",6,2,JAMES F. CONDON ELEMENTARY SCHOOL -,"200 D STREET,", 
-71.05215063,42.338017263812525,53,"Ward 6 Precincts 1, 2 and 3",6,3,JAMES F. CONDON ELEMENTARY SCHOOL -,"200 D STREET,", 
-71.04731107,42.335001535890456,54,Ward 6 Precinct 4,6,4,JULIE'S FAMILY LEARNING PROGRAM -,133 DORCHESTER STREET., 
-71.038714,42.33577598828191,55,Ward 6 Precincts 5 & 7,6,5,SOUTH BOSTON LIBRARY -,"646 EAST BROADWAY,", 
-71.03489,42.333540041040891,56,"Ward 6 Precincts 6, 8 or 9",6,6,MONSIGNOR JOHN T POWERS ELDERLY HOUSING -,120 L STREET., 
-71.038714,42.33577598828191,57,Ward 6 Precincts 5 & 7,6,7,SOUTH BOSTON LIBRARY -,"646 EAST BROADWAY,", 
-71.03489,42.333540041040891,58,"Ward 6 Precincts 6, 8 or 9",6,8,MONSIGNOR JOHN T POWERS ELDERLY HOUSING -,120 L STREET., 
-71.03489,42.333540041040891,59,"Ward 6 Precincts 6, 8 or 9",6,9,MONSIGNOR JOHN T POWERS ELDERLY HOUSING -,120 L STREET., 
